reporting_period,project_number,legacy_project_number,street_address,city,county,state,zip_code,incorporated_municipality,municipality_type,census_tract,nys_disadvantaged_community_status,climate_and_economic_justice_screening_tool_status,sector,program_type,solicitation,electric_utility,purchase_type,date_application_received,date_install,project_status,contractor,minority_or_women_owned_business_enterprise_mwbe,inverter_manufacturer,primary_inverter_model_number,inverter_quantity,pv_module_manufacturer,pv_module_model_number,pv_module_quantity,project_cost,total_nyserda_incentive,affordable_solar_residential_adder,affordable_multifamily_housing_incentive,community_adder,inclusive_community_solar_adder,expanded_solar_for_all_adder,brownfield_landfill_adder,canopy_adder,prevailing_wage_adder,totalnameplatekwdc,expected_kwh_annual_production,remote_net_metering,community_distributed_generation,green_jobs_green_new_york_participant,latitude,longitude,georeference
2023-11-30T00:00:00Z,247802,NA,124 W 139 St,New York,New York,NY,10030,New York,City,36061023000,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-05-30T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,68,116501,20590,0,0,0,0,0,0,7500,0,26.18,32296,NA,Yes,No,40.81720068,-73.94057242,POINT (-73.94057242 40.81720068)
2023-11-30T00:00:00Z,214393,NA,666 E 141 St,Bronx,Bronx,NY,10454,New York,City,36005002702,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-12-11T00:00:00Z,NA,Pipeline,Harvest Power,No,SolarEdge Technologies Ltd.,SE9K [208V],2,"S-Energy Co., Ltd.",SN305M-10(B),77,64070.97,23485,0,9394,0,0,0,0,0,0,23.49,25711,NA,Yes,No,40.80731499,-73.91303631,POINT (-73.91303631 40.80731499)
2023-11-30T00:00:00Z,213231,NA,1454 Walton Ave,Bronx,Bronx,NY,10452,New York,City,36005022300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-12-13T00:00:00Z,2020-06-24T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE30KUS [480V],2,LG Electronics Inc.,LG340N1C-V5,186,334290,37944,0,0,0,0,0,0,0,0,63.24,77022,NA,Yes,No,40.84102232,-73.91475715,POINT (-73.91475715 40.84102232)
2023-11-30T00:00:00Z,226568,NA,230-39 Rockaway Blvd,Springfield Gardens,Queens,NY,11413,New York,City,36081066400,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2019-12-17T00:00:00Z,2021-09-09T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SolarEdge Technologies Ltd.,SE100KUS [480V],5,Hanwha Q CELLS,Q.PEAK DUO L-G6.2 420,1666,1329890.5,419832,0,0,0,0,0,0,0,0,699.72,836288,NA,Yes,No,40.65105689,-73.75799204,POINT (-73.75799204 40.65105689)
2023-11-30T00:00:00Z,214004,NA,22 Elliot Pl,Bronx,Bronx,NY,10452,New York,City,36005022101,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-10-10T00:00:00Z,2020-02-04T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE20KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,77,143466,15708,0,0,0,0,0,0,0,0,26.18,31527,NA,Yes,No,40.83917237,-73.91729044,POINT (-73.91729044 40.83917237)
2023-11-30T00:00:00Z,211621,NA,1527 Arthur Kill Rd,Staten Island,Richmond,NY,10312,New York,City,36085022800,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2019-12-17T00:00:00Z,2021-01-12T00:00:00Z,Complete,UGE USA Inc.,No,Canadian Solar Inc.,CSI-40KTL-GS-FL [480V],6,"Jinko Solar Co., Ltd",JKM395M-72HL-V,770,378387,182490,0,0,0,0,0,0,0,0,304.15,351945,NA,Yes,No,40.56371773,-74.1912021,POINT (-74.1912021 40.56371773)
2023-11-30T00:00:00Z,247848,NA,110 9 Ave,New York,New York,NY,10011,New York,City,36061008300,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-05-28T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,69,116354.71,20783,0,0,0,0,0,0,7500,0,26.57,32771,NA,Yes,No,40.74296013,-74.00368255,POINT (-74.00368255 40.74296013)
2023-11-30T00:00:00Z,234901,NA,545 W 236 St,Bronx,Bronx,NY,10463,New York,City,36005029500,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-21T00:00:00Z,2022-10-26T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE30KUS [480V],2,LG Electronics Inc.,LG335N1C-A5,170,289341,28475,0,0,0,0,0,0,0,0,56.95,69361,NA,Yes,No,40.88664763,-73.90898836,POINT (-73.90898836 40.88664763)
2023-11-30T00:00:00Z,252675,NA,5337 Preston Ct,Brooklyn,Kings,NY,11234,New York,City,36047094401,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-10-08T00:00:00Z,2021-04-23T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],2,Heliene,72M370,396,450233.04,58608,0,0,0,0,0,0,0,0,146.52,180064,NA,Yes,No,40.63825002,-73.92444802,POINT (-73.92444802 40.63825002)
2023-11-30T00:00:00Z,235960,NA,54 Featherbed Ln,Bronx,Bronx,NY,10452,New York,City,36005021700,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-21T00:00:00Z,2020-08-21T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE30KUS [480V],2,LG Electronics Inc.,LG340N1C-V5,183,283324,31110,0,0,0,0,0,0,0,0,62.22,75780,NA,Yes,No,40.84554384,-73.91606705,POINT (-73.91606705 40.84554384)
2023-11-30T00:00:00Z,235922,NA,1478 Walton Ave,Bronx,Bronx,NY,10452,New York,City,36005022300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-21T00:00:00Z,2020-08-14T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],3,LG Electronics Inc.,LG340N1C-V5,354,540825,60180,0,0,0,0,0,0,0,0,120.36,148237,NA,Yes,No,40.84144926,-73.91445197,POINT (-73.91445197 40.84144926)
2023-11-30T00:00:00Z,249953,NA,40-6 10th St,Astoria,Queens,NY,11106,New York,City,36081002500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-07-23T00:00:00Z,2021-06-23T00:00:00Z,Complete,Bright Power,No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],2,Sunpower,SPR-X22-360-COM,182,179952,65520,0,39312,0,0,0,0,0,0,65.52,73088,NA,Yes,No,40.75680478,-73.94452793,POINT (-73.94452793 40.75680478)
2023-11-30T00:00:00Z,248753,NA,400 Food Center Dr,Bronx,Bronx,NY,10474,New York,City,36005011700,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-06-26T00:00:00Z,2023-07-10T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],33,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 400,6874,4075000,1361675,0,0,0,0,0,0,0,0,2723.35,3652252,NA,Yes,No,40.80794305,-73.87124995,POINT (-73.87124995 40.80794305)
2023-11-30T00:00:00Z,222056,NA,34-42 80th St,Jackson Heights,Queens,NY,11372,New York,City,36081028500,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-11-23T00:00:00Z,2020-01-27T00:00:00Z,Complete,"Brooklyn SolarWorks, LLC",No,SMA America,SB7.0-1SP-US-40 [208V],2,LG Electronics Inc.,LG370Q1C-A5,39,85716.41,8658,0,0,0,0,0,0,0,0,14.43,13823,NA,Yes,No,40.75265589,-73.88680753,POINT (-73.88680753 40.75265589)
2023-11-30T00:00:00Z,225488,NA,140 58th St,Brooklyn,Kings,NY,11220,New York,City,36047001800,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-12-10T00:00:00Z,NA,Pipeline,770 Electric Corp.,Yes,Yaskawa Solectria Solar,XGI 1000-65 [480V],10,Canadian Solar Inc.,CS3U-385MS,1780,1492906,411180,0,0,0,0,0,0,0,0,685.3,765328,NA,Yes,No,40.64530294,-74.02294136,POINT (-74.02294136 40.64530294)
2023-11-30T00:00:00Z,251507,NA,2600 Hylan Blvd,Staten Island,Richmond,NY,10306,New York,City,36085012804,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-12-02T00:00:00Z,2023-04-07T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],14,Heliene,72M370,2016,3380330,438094,0,0,0,57142.8,0,0,0,0,745.92,987373,NA,Yes,No,40.56813043,-74.11191866,POINT (-74.11191866 40.56813043)
2023-11-30T00:00:00Z,234995,NA,1850 Ocean Pkwy,Brooklyn,Kings,NY,11223,New York,City,36047041402,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2021-04-16T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG335N1C-A5,131,249654,21943,0,0,0,0,0,0,0,0,43.88,53932,NA,Yes,No,40.6034578,-73.96705113,POINT (-73.96705113 40.6034578)
2023-11-30T00:00:00Z,253384,NA,88-36 77th Ave,Ridgewood,Queens,NY,11385,New York,City,36081063700,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-10-08T00:00:00Z,2022-04-22T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SMA America,STP 33-US-41 [480V],6,JA Solar,JAM72S09-395/PR,1026,945000,162108,0,0,0,0,0,0,0,0,405.27,490936,NA,Yes,No,40.70656683,-73.8611622,POINT (-73.8611622 40.70656683)
2023-11-30T00:00:00Z,234762,NA,1010 Sherman Ave,Bronx,Bronx,NY,10456,New York,City,36005018302,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-04-15T00:00:00Z,2020-11-20T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE30KUS [480V],3,LG Electronics Inc.,LG350N1C-V5,301,455737,52675,0,0,0,0,0,0,0,0,105.35,128308,NA,Yes,No,40.82937008,-73.91830398,POINT (-73.91830398 40.82937008)
2023-11-30T00:00:00Z,236203,NA,2375 Marion Ave,Bronx,Bronx,NY,10458,New York,City,36005039902,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-21T00:00:00Z,2021-07-06T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,85,140876,14450,0,0,0,0,0,0,0,0,28.9,35594,NA,Yes,No,40.85835397,-73.89572098,POINT (-73.89572098 40.85835397)
2023-11-30T00:00:00Z,213091,NA,1027 Walton Ave,Bronx,Bronx,NY,10452,New York,City,36005019500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-12-13T00:00:00Z,2020-06-24T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE30KUS [480V],2,LG Electronics Inc.,LG340N1C-V5,181,307547,36924,0,0,0,0,0,0,0,0,61.54,74952,NA,Yes,No,40.83106565,-73.92196467,POINT (-73.92196467 40.83106565)
2023-11-30T00:00:00Z,236189,NA,1720 University Ave,Bronx,Bronx,NY,10453,New York,City,36005021502,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-03-14T00:00:00Z,2020-12-14T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],2,LG Electronics Inc.,LG340N1C-V5,229,351960,38930,0,0,0,0,0,0,0,0,77.86,94828,NA,Yes,No,40.84876038,-73.91744473,POINT (-73.91744473 40.84876038)
2023-11-30T00:00:00Z,254410,NA,41 Vernon Blvd,Long Island City,Queens,NY,11101,New York,City,36081000100,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-07-24T00:00:00Z,2021-02-25T00:00:00Z,Complete,Bright Power,No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],2,Sunpower,SPR-X22-360-COM,234,232502,84240,0,50544,0,0,0,0,0,0,84.24,93717,NA,Yes,No,40.75443881,-73.9492299,POINT (-73.9492299 40.75443881)
2023-11-30T00:00:00Z,235952,NA,47 Featherbed Ln,Bronx,Bronx,NY,10452,New York,City,36005021700,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-21T00:00:00Z,2021-06-09T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,104,184223,17680,0,0,0,0,0,0,0,0,35.36,43550,NA,Yes,No,40.84597142,-73.91595446,POINT (-73.91595446 40.84597142)
2023-11-30T00:00:00Z,236501,NA,9 Argyle Rd,Brooklyn,Kings,NY,11218,New York,City,36047050600,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-03-05T00:00:00Z,2022-08-15T00:00:00Z,Complete,American Solar Partners,No,SolarEdge Technologies Ltd.,SE11400H-US [240V],2,"CSI Solar Co., Ltd.",CS3U-325P,80,127145,52000,0,39000,0,0,0,0,0,0,26,31598,NA,Yes,No,40.6493043,-73.96772495,POINT (-73.96772495 40.6493043)
2023-11-30T00:00:00Z,243698,NA,526 Gulf Ave,Staten Island,Richmond,NY,10303,New York,City,36085029102,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-04-29T00:00:00Z,2022-09-19T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SMA America,STP 50-US-41 [480V],64,JA Solar,JAP72S09-340/SC,13669,5980000,3007662,0,0,0,501277,0,0,0,0,5012.77,6037053,NA,Yes,No,40.62090439,-74.18593012,POINT (-74.18593012 40.62090439)
2023-11-30T00:00:00Z,248672,NA,1808 Amsterdam Ave,New York,New York,NY,10031,New York,City,36061023300,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-06-03T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,48,78158.54,18480,0,9240,0,0,0,0,0,0,18.48,22797,NA,Yes,No,40.82818147,-73.9456661,POINT (-73.9456661 40.82818147)
2023-11-30T00:00:00Z,213649,NA,1631 Walton Ave,Bronx,Bronx,NY,10452,New York,City,36005022702,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-11-06T00:00:00Z,2020-06-24T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,126,233769,25704,0,0,0,0,0,0,0,0,42.84,52176,NA,Yes,No,40.84435711,-73.91261656,POINT (-73.91261656 40.84435711)
2023-11-30T00:00:00Z,211332,NA,3457 Eastchester Rd,Bronx,Bronx,NY,10469,New York,City,36005038600,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2019-09-07T00:00:00Z,2021-09-24T00:00:00Z,Complete,"Bright Power, Inc.",No,SolarEdge Technologies Ltd.,SE66.6KUS [480V],2,Hanwha Q CELLS,Q.PEAK-G4.1 305,535,455190.75,97905,0,0,0,0,0,0,0,0,163.18,178638,NA,Yes,No,40.87773142,-73.84696439,POINT (-73.84696439 40.87773142)
2023-11-30T00:00:00Z,236087,NA,200 Bradhurst Ave,New York,New York,NY,10039,New York,City,36061023502,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2020-09-17T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE20KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,51,99670,8670,0,0,0,0,0,0,0,0,17.34,21433,NA,Yes,No,40.82738909,-73.9397159,POINT (-73.9397159 40.82738909)
2023-11-30T00:00:00Z,248619,NA,1080 Anderson Ave,Bronx,Bronx,NY,10452,New York,City,36005019300,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-06-02T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],2,Canadian Solar Inc.,CS3U-385MB-AG,403,461194.67,85078,0,0,0,0,0,0,7500,0,155.15,189226,NA,Yes,No,40.83424962,-73.92551719,POINT (-73.92551719 40.83424962)
2023-11-30T00:00:00Z,246358,NA,865 E 138 St,Bronx,Bronx,NY,10454,New York,City,36005001900,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-05-21T00:00:00Z,2021-08-27T00:00:00Z,Complete,QCells Enable LLC (dba for Hanwha Q Cells America Inc),No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],5,"Risen Energy Co., Ltd.",RSM144-6-400M,1120,883096.1,224000,0,0,0,0,0,0,0,0,448,545631,NA,Yes,No,40.80307185,-73.90858045,POINT (-73.90858045 40.80307185)
2023-11-30T00:00:00Z,236074,NA,192 Bradhurst Ave,New York,New York,NY,10039,New York,City,36061023502,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2020-09-10T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE9KUS [208V],1,LG Electronics Inc.,LG340N1C-V5,33,79601,5610,0,0,0,0,0,0,0,0,11.22,13868,NA,Yes,No,40.82712011,-73.93991449,POINT (-73.93991449 40.82712011)
2023-11-30T00:00:00Z,244374,NA,500 Abbot St,Bronx,Bronx,NY,10470,New York,City,36005041400,Inside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-05-06T00:00:00Z,NA,Pipeline,QCells Enable LLC (dba for Hanwha Q Cells America Inc),No,Yaskawa Solectria Solar,PVI 60TL-480 [480V],16,"Risen Energy Co., Ltd.",RSM144-6-400BMDG,3141,3158400,760800,0,0,0,0,0,0,132600,0,1256.4,1528202,NA,Yes,No,40.90813136,-73.85354962,POINT (-73.85354962 40.90813136)
2023-11-30T00:00:00Z,248681,NA,2564 Creston Ave,Bronx,Bronx,NY,10468,New York,City,36005040100,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-06-02T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE66.6KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,198,266455.33,45615,0,0,0,0,0,0,7500,0,76.23,92682,NA,Yes,No,40.86451185,-73.89679799,POINT (-73.89679799 40.86451185)
2023-11-30T00:00:00Z,234975,NA,1685 Ocean Ave,Brooklyn,Kings,NY,11210,New York,City,36047076000,Outside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2020-10-02T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],2,LG Electronics Inc.,LG335N1C-A5,156,182910,26130,0,0,0,0,0,0,0,0,52.26,63518,NA,Yes,No,40.6206899,-73.95523243,POINT (-73.95523243 40.6206899)
2023-11-30T00:00:00Z,236093,NA,315 E 167 St,Bronx,Bronx,NY,10456,New York,City,36005017500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2020-08-20T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,113,207196,19210,0,0,0,0,0,0,0,0,38.42,46793,NA,Yes,No,40.83162442,-73.91329397,POINT (-73.91329397 40.83162442)
2023-11-30T00:00:00Z,252390,NA,4105 Avenue H,Brooklyn,Kings,NY,11210,New York,City,36047072600,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,2020-10-08T00:00:00Z,2021-11-16T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Chint Power Systems America,CPS SCA60KTL-DO/US-480 [480V],3,Heliene,72M370,648,726502.4,95904,0,0,0,0,0,0,0,0,239.76,294650,NA,Yes,No,40.63236878,-73.93695758,POINT (-73.93695758 40.63236878)
2023-11-30T00:00:00Z,248514,NA,470 W 165 St,New York,New York,NY,10032,New York,City,36061024301,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-05-30T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],1,Canadian Solar Inc.,CS3U-385MB-AG,126,188254.4,31755,0,0,0,0,0,0,7500,0,48.51,59842,NA,Yes,No,40.83742236,-73.93755957,POINT (-73.93755957 40.83742236)
2023-11-30T00:00:00Z,229779,NA,1055 Bronx River Ave,Bronx,Bronx,NY,10472,New York,City,36005005200,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-01-13T00:00:00Z,2022-01-06T00:00:00Z,Complete,"PowerFlex Solar, LLC",No,SolarEdge Technologies Ltd.,SE100KUS [480V],4,JA Solar,JAM72D10-405/MB,1199,1095756,288765,0,0,0,0,0,0,0,0,481.27,586158,NA,Yes,No,40.82462842,-73.88330562,POINT (-73.88330562 40.82462842)
2023-11-30T00:00:00Z,255396,NA,40-1 12th St,Long Island City,Queens,NY,11101,New York,City,36081002500,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-08-10T00:00:00Z,2021-06-21T00:00:00Z,Complete,Bright Power,No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],2,Sunpower,SPR-X22-360-COM,232,230514.75,83520,0,39588.48,0,0,0,0,0,0,83.52,92191,NA,Yes,No,40.75598498,-73.94279743,POINT (-73.94279743 40.75598498)
2023-11-30T00:00:00Z,247803,NA,126 W 139 St,New York,New York,NY,10030,New York,City,36061023000,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-05-29T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,68,116501,20590,0,0,0,0,0,0,7500,0,26.18,32296,NA,Yes,No,40.81723524,-73.94065453,POINT (-73.94065453 40.81723524)
2023-11-30T00:00:00Z,236171,NA,1530 Plimpton Ave,Bronx,Bronx,NY,10452,New York,City,36005021301,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2021-09-09T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG340N1C-V5,90,157686,15300,0,0,0,0,0,0,0,0,30.6,36850,NA,Yes,No,40.8457167,-73.92080924,POINT (-73.92080924 40.8457167)
2023-11-30T00:00:00Z,248547,NA,720 Bergen St,Brooklyn,Kings,NY,11238,New York,City,36047020500,Outside a NYS DAC,Outside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-05-30T00:00:00Z,NA,Pipeline,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,Canadian Solar Inc.,CS3U-385MB-AG,50,81061.93,15400,0,0,0,0,0,0,5775,0,19.25,23747,NA,Yes,No,40.67866043,-73.964868,POINT (-73.964868 40.67866043)
2023-11-30T00:00:00Z,259124,NA,181 Bay St,Staten Island,Richmond,NY,10301,New York,City,36085002100,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2020-10-09T00:00:00Z,2021-08-16T00:00:00Z,Complete,"Green Street Power Partners, LLC",No,Yaskawa Solectria Solar,PVI 50TL-480 [480V],5,Sunpower,SPR-X22-360-COM,608,796445,87552,0,0,0,0,0,0,0,0,218.88,270946,NA,Yes,No,40.63749856,-74.07587615,POINT (-74.07587615 40.63749856)
2023-11-30T00:00:00Z,209801,NA,630 Howard Ave,Brooklyn,Kings,NY,11212,New York,City,36047090000,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2019-09-05T00:00:00Z,2022-12-19T00:00:00Z,Complete,Urban Energy Inc.,No,SolarEdge Technologies Ltd.,SE43.2KUS [208V],1,"CSI Solar Co., Ltd.",CS3U-390MB-AG,118,190197,31563,0,0,0,0,0,0,7500,0,46.02,55201,NA,Yes,No,40.66664862,-73.91988307,POINT (-73.91988307 40.66664862)
2023-11-30T00:00:00Z,235189,NA,108 Field Pl,Bronx,Bronx,NY,10468,New York,City,36005023703,Inside a NYS DAC,Inside a CEJST DAC,Non-Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2020-02-26T00:00:00Z,2021-01-13T00:00:00Z,Complete,Best Energy Power,No,SolarEdge Technologies Ltd.,SE33.3KUS [480V],1,LG Electronics Inc.,LG350N1C-V5,125,247728,21875,0,0,0,0,0,0,0,0,43.75,53284,NA,Yes,No,40.85914005,-73.90081848,POINT (-73.90081848 40.85914005)
