bin,address,heightroof,zonedist1,ratio_residfar,histdist,ElcPrd_MWh,ownername,zipcode,bct2020,agent_name,head_name,officer_name,manager_name,owner_add,agent_add,head_add,officer_add,owner_cat,r_bldgtype,residential,bbl,f_lowroof,f_mzone,f_lowres,f_hd,f_mulbldg,f_disad,f_ll97,f_solrad,f_nys_dac,elcprd_MWh,index
3116682,278 LENOX ROAD,41.89,R7-1,0.47383720930232553,NA,115.812667677,LENOX ROAD BAPTIST CH,11226,3082000,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3050850051,0,0,0,0,0,1,0,1,0,115.812667677,2
3062518,55 HOPE STREET,76.11,M1-2/R6A,1.9800000000000002,NA,122.816539478,HOPE STREET OWNER LLC,11211,3051900,ALISON MAGUIRE,ALISON MAGUIRE,NA,NA,152 WEST 57TH STREET 17TH F New York NY 10019,152 WEST 57TH STREET 17TH F New York NY 10019,152 WEST 57TH STREET 17TH F New York NY 10019,NA,Unknown (likely private),multiple unit,1,3023690040,0,1,0,0,0,0,2,1,0,122.816539478,4
3129505,5003 19 AVENUE,12.89,R5,0.8,NA,102.42350968,RABBINICAL SEM/CH'SAN,11204,3046400,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3054620006,2,0,1,0,0,1,0,1,0,102.42350968,5
3126938,425 EAST 9 STREET,72.43204048,R5,1.6,NA,116.808274578,YESHZVA TORAH VODAATH,11218,3049200,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3053930079,0,0,1,0,0,1,2,1,0,116.808274578,5
3126885,805 DITMAS AVENUE,63.6606312,R5,3.6719999999999997,NA,54.3107428902,SAMJO RLTY CORP,11218,3049200,EHUD LIVNE,SAMUEL HERTZ,SAMUEL HERTZ,EHUD LIVNE,1060 OCEAN AVE A1 BROOKLYN NY 11226,1060 OCEAN AVE A1 BROOKLYN NY 11226,1060 OCEAN AVE A1 BROOKLYN NY 11226,1060 OCEAN AVE A1 BROOKLYN NY 11226,Unknown (likely private),multiple unit,1,3053920052,0,0,1,0,0,1,2,0,0,54.3107428902,4
3069699,750 MEEKER AVENUE,18.47,M1-1,Inf,NA,163.122435816,MORTIMER KORCHIN 1998 FAMILY TRUST,11222,3044901,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3028100029,2,1,0,0,0,1,0,1,1,163.122435816,6
3117116,522 OCEAN AVENUE,63.51,R7A,1.3575,NA,99.1021100182,OCEAN FIVE TWO TWO ASSOCIATES,11226,3051002,BESIM BESKOVIC,SMAJLJE SRDANOVIC,BESIM BESKOVIC,BESIM BESKOVIC,44 WEST 28TH STREET 6THFL New York NY 10001,44 WEST 28TH STREET 6TH ST New York NY 10001,44 WEST 28TH STREET 6TH New York NY 10001,44 WESTT 28TH STREET 6THFL New York NY 10001,Unknown (likely private),multiple unit,1,3050990106,0,0,0,0,0,1,2,0,0,99.1021100182,3
3393899,64 BAYARD STREET,70.03975996,M1-2/R6A,2.27,NA,60.5474440815,BAYARD HOUSE    .,11222,3051500,ANNA BRENDA,WITOLD BREND,ANNA BRENDA,ZOE GLUSHEFSKI,1666 K ST NW 400 Washington DC 20006,60 BAYARD STREET  Brooklyn NY 11222,60 BAYARD STREET  Brooklyn NY 11222,60 BAYARD STREET  Brooklyn NY 11222,Unknown (likely private),multiple unit,1,3027220010,0,1,0,0,0,0,2,0,0,60.5474440815,3
3120342,410 EAST 25 STREET,66.2,R6,2.3127572016460904,NA,63.1701917574,LAGADAKIA REALTY CORP C/O NICHOLAS HAVIA RAS,11226,3079002,PETER DILIS,GEORGE NTILIS,NICK HAVIARAS,PETER DILIS,296 4TH AVENUE  Brooklyn NY 11215,296 4TH AVE  Brooklyn NY 11215,296 4TH AVENUE  Brooklyn NY 11215,296 4TH AVENUE  Brooklyn NY 11215,Unknown (likely private),multiple unit,1,3052110011,0,0,1,0,0,0,2,0,1,63.1701917574,4
3116659,155 LINDEN BOULEVARD,10.89300274,R7-1,0.6802325581395349,NA,167.025431392,155 LINDEN LLC,11226,3082200,MOSHE PILLER,MOSHE PILLER,NA,NA,4502 13TH AVENUE 13 BROOKLYN NY 11219,1274 49TH STREET 175 BROOKLYNBROOKLY NY 11219,4502 13TH AVENUE 13 BROOKLYN NY 11219,NA,Unknown (likely private),multiple unit,1,3050840061,2,0,0,0,0,1,2,1,1,167.025431392,7
3424160,1752 SHORE PARKWAY,21.30842182,M1-1,Inf,NA,795.911274077,"LHL SHORE PARKWAY, LLC",11214,3030400,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3064910207,2,1,0,0,0,1,2,3,1,795.911274077,10
3345219,AVENUE I,48.54,R3-2,0,NA,124.45856024,NEW YORK TELEPHONE CO,11234,3072200,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3077590001,0,0,1,0,0,0,0,1,0,124.45856024,2
3401102,1993 BROADWAY,27.82,M1-1,Inf,NA,403.434590581,NYC TRANSIT AUTHORITY,11207,3114201,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3034760010,2,1,0,0,2,1,2,2,1,403.434590581,11
3395991,323 3 AVENUE,43.0,M1-2,NA,NA,272.080754435,CONS EDISON,11215,3011901,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3009680001,0,1,0,0,2,0,0,1,1,272.080754435,5
3398210,327 GREENPOINT AVENUE,101.0,M3-1,NA,NA,176.519245914,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,11222,3057902,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3025250001,2,1,0,0,2,1,0,1,1,176.519245914,8
3338315,350 MORGAN AVENUE,29.92,M1-1,Inf,NA,125.161264511,"350 MORGAN AVENUE,",11211,3044902,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3029090001,2,1,0,0,2,1,0,1,1,125.161264511,8
3333429,49 GOLD STREET,28.42,M3-1,NA,NA,181.49721624,CON EDISON,11201,3002100,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3000330001,2,0,0,0,2,0,0,1,0,181.49721624,5
3117070,105 BUCKINGHAM ROAD,63.23,R1-2,6.16,Prospect Park South Historic District,92.8755874637,BOMEL REALTY COMPANY LLC,11226,3051200,STEVEN MELZTER,STEVEN MELTZER,CRAIG MELTZER,LUIS TUTILLO,304 EAST HARRISON STREET  Long Beach NY 11561,105 BUCKINGHAM ROAD 3J Brooklyn NY 11226,304 EAST HARRISON STREET  Long Beach NY 11561,304 E HARRISON STREET  Long Beach NY 11561,Unknown (likely private),multiple unit,1,3050970060,0,0,1,1,0,0,2,0,0,92.8755874637,4
3127761,345 WEBSTER AVENUE,77.47408435,R5,3.168,NA,203.439260095,DANIEL W OWNERS CORP,11230,3048200,FRED ENRICO,FRED ENRICO,JOSEPH PUNIA,YLLI SEFA,265 LEXINGTON AVE 1C NYC NY 10016,265 LEXINGTON AVE 1C NY NY 10016,265 LEXINGTON AVE  New York NY 10016,PO BOX 6817 520 E ROUTE 22 2ND FL Bridgewater NJ 08807,Unknown (likely private),coop,1,3054180049,0,0,1,0,0,1,2,1,0,203.439260095,5
3328792,6303 5 AVENUE,25.12381744,M1-2,Inf,NA,145.33197557,HTLB DEVELOPMENT GROUP INC.,11220,3012200,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3058100006,2,1,0,0,2,1,0,1,1,145.33197557,8
3201014,2675 OCEAN AVENUE,63.7,R7A,0.7075,NA,133.984479857,"OCEAN ROAD TERRACE COOPERATIVE APTS., IN C.",11229,3059403,ELIE GABAY,BELLA DININ,PENNY BOWER,PHIL PEREZ,1499 CONEY ISLAND AVENUE  Brooklyn NY 11230,1499 CONEY ISLAND AVE  BROOKLYN NY 11230,1499 CONEY ISLAND AVENUE  BROOKLYN NY 11230,1499 CONEY ISLAND AVENUE  Brooklyn NY 11230,Unknown (likely private),coop,1,3073810079,0,0,0,0,0,1,2,1,0,133.984479857,4
3327277,18 WOODRUFF AVENUE,63.48,R7A,0.7775,NA,61.6468318052,BERNARD MILLER,11226,3050804,MARGARETA MILLER,MARGARETA MILLER,MARGARETA MILLER,WILLIAM FLORES,4711 12TH AVENUE A8 BKLYN NY 11219,4711 12 AVE A8 Brooklyn NY 11219,4711 12TH AVENUE A8 BKLYN NY 11219,4711 12TH AVENUE A8 BKLYN NY 11219,Unknown (likely private),multiple unit,1,3050580016,0,0,0,0,2,1,2,0,0,61.6468318052,5
3205007,2606 EAST 19 STREET,37.09,R4,1.2933333333333332,NA,201.707505266,ST MARKS RC CH,11235,3060000,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3074630005,0,0,1,0,1,0,2,1,0,201.707505266,5
3127551,895 MCDONALD AVENUE,22.57,M1-1,Inf,NA,190.732158211,HERMS REALTY CO INC,11218,3047800,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3054080066,2,1,0,0,0,1,2,1,0,190.732158211,7
3110194,285 EAST 35 STREET,65.08,R4,4.826666666666667,NA,87.3788510779,285 E 35TH ST OWNERS CORP,11203,3085600,MARSHA GRANT,DAVID TUDOR TUDOR,JANET RIGSBY,HOSEA STEWART,1 PLAZA ROAD 101 Greenvale NY 11548,1 PLAZA ROAD SUITE Greenvale NY 11548,1 PLAZA ROAD 101 Greenvale NY 11548,1 PLAZA ROAD 101 Greenvale NY 11548,Unknown (likely private),coop,1,3049060065,0,0,1,0,0,0,2,0,0,87.3788510779,3
3336650,327 GREENPOINT AVENUE,44.0,M3-1,NA,NA,203.274502479,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,11222,3057902,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3025250001,0,1,0,0,2,1,0,1,1,203.274502479,6
3331025,9201 SHORE ROAD,65.3,R7A,1.0475,NA,267.181687216,9201 SHORE TENANTS CORP,11209,3005202,STEPHEN LABARBARA,KEVIN SPELLMAN,KEITH WERNY,NA,9201 SHORE ROAD  Brooklyn NY 11209,575 FIFTH AVENUE 9TH FL New York NY 10017,9201 SHORE ROAD B404 Brooklyn NY 11209,575 FIFTH AVENUE 9TH FL NEW YORK NY 10017,Unknown (likely private),coop,1,3060990013,0,0,0,0,2,0,2,1,0,267.181687216,5
3129563,1140 MCDONALD AVENUE,12.11,M1-2,Inf,NA,115.398572002,1140 MCDONALD LLC,11230,3046202,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3054640015,2,1,0,0,0,1,0,1,0,115.398572002,5
3154729,9119 3 AVENUE,16.5641392,R6B,0.3,NA,192.673335259,9101 K HOLDING LLC,11209,3005800,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3060860001,2,0,1,0,0,0,0,1,0,192.673335259,4
3035760,DEAN STREET,25.46,R6,0,NA,942.258886783,NYC TRANSIT AUTHORITY,11213,3031100,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3013460010,2,0,1,0,0,1,0,3,1,942.258886783,8
3412404,AVENUE X,30.22,C8-1,NA,NA,177.840422693,NYC TRANSIT AUTHORITY,11223,3030800,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3072080040,0,0,0,0,2,1,0,1,1,177.840422693,5
3426433,1501 VOORHIES AVENUE,NA,C4-2,1.1152263374485596,NA,3.90165986539,"SHEEPSHEAD BAY ROAD PARTNER, LLC",11235,3060600,MICAH PARKER,JON VOGEL,MICAH PARKER,MELISSA JACKSON,4040 WILSON BLVD 1000 ARLINGTON VA 22203,1633 BROADWAY 22B NEW YORK NY 10019,1633 BROADWAY 22B NEW YORK NY 10019,1633 BROADWAY 22B NEW YORK NY 10019,Unknown (likely private),condo,1,3074597501,0,0,0,0,0,1,2,0,1,3.90165986539,4
3429279,1112 38 STREET,NA,R6,1.7037037037037035,NA,127.004553534,3801 YKY LLC,11218,3022600,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3052900035,0,0,1,0,0,1,2,1,0,127.004553534,5
3327625,1244 UTICA AVENUE,40.92,C8-1,Inf,NA,96.7621488156,NEW LIFE TABERNACLEUNITED PENTECOSTAL CH URCH INC,11203,3084000,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3047700038,0,0,0,0,0,0,0,0,0,96.7621488156,0
3405199,1629 BUSHWICK AVENUE,30.36,R3-2,0,NA,154.544224962,CEMETERY OF THE EVERGREENS,11207,3040700,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3034750001,0,0,1,0,2,0,0,1,1,154.544224962,5
3182842,1101 AVENUE R,53.95,R7A,0,NA,142.31003215,VERIZON NEW YORK INC,11223,3055400,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3067940053,0,0,0,0,1,1,0,1,0,142.31003215,3
3339248,5 AVENUE,31.54,M1-2,NA,NA,1545.14389975,NA,11232,3008800,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3009030180,0,1,0,0,0,1,0,4,1,1545.14389975,7
3339249,36 STREET,30.14,M1-2,NA,NA,2010.13053466,NA,11232,3008800,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3009030190,0,1,0,0,2,1,0,4,1,2010.13053466,9
3338278,PORTER AVENUE,39.63,M3-1,NA,NA,97.7102888172,BROOKLYN UNION GAS COMPANY,11222,3044902,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3028370001,0,1,0,0,2,1,0,0,1,97.7102888172,5
3076414,1064 BUSHWICK AVENUE,84.51,R6,0,NA,132.062931191,N Y TELEPHONE CO,11221,3039700,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3033390023,0,0,1,0,0,1,0,1,1,132.062931191,4
3420168,613 BALTIC STREET,140.0,C4-4D,0.9767441860465117,NA,33.6383340734,NA,11217,3012901,ERROL CEYHAN,CARLY ROBBINS,ADAM REISMAN,ERROL CEYHAN,7 PENNSYLVANIA PLAZA STE. 6 New York NY 10001,7 PENN PLAZA 601 New York NY 10001,7 PENNSYLVANIA PLAZA STE. 6 New York NY 10001,7 PENNSYLVANIA PLAZA STE. 6 New York NY 10001,Unknown (likely private),not residential,0,3009377504,2,0,0,0,0,0,2,0,0,33.6383340734,4
3418188,535 CARLTON AVENUE,221.0,M1-1,Inf,NA,142.490209269,"PACIFIC PARK 535 CARLTON, LLC",11238,3016300,DAISY CORREA,WESLEY WILSON,NA,JOSE PEREZ,535 CARLTON AVENUE  Brooklyn NY 11238,535 CARLTON AVENUE  Brooklyn NY 11238,1920 MAIN STREET  Irvine CA 92614,NA,Unknown (likely private),not residential,0,3011297502,2,1,0,0,0,0,2,1,0,142.490209269,6
3332530,2186 MILL AVE,47.01478927,R3-1,0.96,NA,246.354864755,"MILL AVENUE DEVELOPMENT,LLC",11234,3069800,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3084707502,0,0,1,0,0,0,2,1,0,246.354864755,4
3412926,77 BOX STREET,43.94748781,M1-2,Inf,NA,154.813469502,77 BOX STREET HOLDING,11222,3057901,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3024790028,0,1,0,0,0,1,2,1,1,154.813469502,6
3000017,19 BRIDGE STREET,15.41,M3-1,NA,NA,169.065979634,"CONSOLIDATED EDISON CO.OF N.Y.,INC.",11201,3002100,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3000210009,2,0,0,0,1,0,0,1,0,169.065979634,4
3388737,60 TIFFANY PLACE,65.0,R6A,0.6433333333333333,NA,78.7893020599,NA,11231,3004700,SAMMERIS BURGOS,MIKE ZABORSKI,AL PALOMBO,ALLAN MONTES,50 WEST 17TH ST  New York NY 10011,50 WEST 17TH ST  New York NY 10011,50 WEST 17TH ST  New York NY 10011,50 WEST 17TH ST  New York NY 10011,Unknown (likely private),condo,1,3003197502,0,0,1,0,0,0,2,0,1,78.7893020599,4
3387676,66 FRONT STREET,12.03485091,R7-1,0.2616279069767442,NA,36.1078772534,NA,11201,3002100,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3000450115,2,0,0,0,0,0,0,0,0,36.1078772534,2
3246887,1516 ORIENTAL BOULEVARD,45.21433624,R3-1,1.3,NA,888.520211466,MENORAH HOME & HOSPITAL,11235,3061600,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3087600200,0,0,1,0,0,1,2,3,0,888.520211466,7
3124829,4101 14 AVENUE,95.27,R6,0,NA,118.129805891,VERIZON NEW YORK INC,11219,3023000,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3053440006,0,0,1,0,0,1,0,1,0,118.129805891,3
3328199,2117 BEDFORD AVENUE,99.31,C4-4A,0,NA,197.357581961,VERIZON NEW YORK INC,11226,3079400,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3051090070,0,0,0,0,0,1,0,1,1,197.357581961,3
3397305,3021 KNAPP STREET,30.0,M1-1,NA,NA,136.750928896,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,11235,3062600,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3074520001,0,1,0,0,2,1,0,1,1,136.750928896,6
3378511,45 WATER STREET,31.0,M3-1,Inf,Fulton Ferry Historic District,259.482308628,BROOKLYN BRIDGE PARK CORPORATION D/B/A B ROOKLYN BR,11201,3002100,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3000260080,0,0,0,1,0,0,0,1,0,259.482308628,2
3418152,180 NASSAU STREET,130.922173,C6-2,1.355481727574751,NA,27.8507616117,BROOKLYN WAREHOUSE 180 LLC,11201,3001501,SHPRESA NELA,RICHARD OHEBSHALOM,ERSEIDA MHILI,SHPRESA NELA,36 WEST 37 STREET 8FL New York NY 10018,36 WEST 37 STREET 8FL New York NY 10018,36 WEST 37 STREET 8FL NEW YORK NY 100187497,36 WEST 37 STREET 8FL New York NY 10018,Unknown (likely private),multiple unit,1,3001080012,2,0,0,0,0,0,2,0,1,27.8507616117,5
3420464,81 FLEET PLACE,156.0,R7-1,2.2936046511627906,NA,64.3559933348,"RED APPLE 81 FLEET PLACE DEVELOPMENT, LL C",11201,3003101,CHARLES D'AMICO,JOHN CATSIMATIDIS,CHARLES D'AMICO,MARIO RROKAJ,800 THIRD AVENUE 5THFL New York NY 10022,800 THIRD AVENUE 5TH FL NEW YORK NY 100227655,800 THIRD AVENUE 5TH FL New York NY 10022,800 THIRD AVENUE 5TH FL NEW YORK NY 100227655,Unknown (likely private),multiple unit,1,3020610110,2,0,0,0,0,0,2,0,0,64.3559933348,4
3326939,2001 ORIENTAL BOULEVARD,35.19196302,R3-1,0.3,NA,856.685221467,CITY UNIVERSITY OF NEW YORK,11235,3061600,NA,NA,NA,NA,NA,NA,NA,NA,"State, federal, or public authority",not residential,0,3087600060,0,0,1,0,2,1,2,3,0,856.685221467,9
3203175,2939 AVENUE Y,66.26780779,R5,2.944,NA,63.4529155553,2939 AVE Y TENANTS CORP,11235,3059402,EDWARD SECKER,EDWARD SECKER,DIANA KHAYLO,HECTOR FELICIANO,112-41 QUEENS BLVD 201 FOREST HILLS NY 11375,112-41 QUEENS BLVD 201 FOREST HILLS NY 11375,112-41 QUEEN BLVD 201 FOREST HILLS NY 11375,112-41 QUEENS BLVD 201 FOREST HILLS NY 11375,Unknown (likely private),coop,1,3074220040,0,0,1,0,0,1,2,0,0,63.4529155553,4
3397780,5031 FLATBUSH AVENUE,35.68989328,M1-1,NA,NA,588.063441059,NATIONAL PARK SERVICE,11234,3070202,NA,NA,NA,NA,NA,NA,NA,NA,Private,not residential,0,3085910075,0,1,0,0,2,0,0,2,0,588.063441059,5
3326842,2529 HENDRICKSON STREET,28.58611839,C8-1,Inf,NA,244.325410918,2520 FLATBUSH AVENUE LLC,11234,3066200,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3085590016,2,0,0,0,0,0,0,1,0,244.325410918,3
3236236,5817 AVENUE T,36.62087813,R5,0.536,NA,108.472654951,TELCO MANAGEMENT LLC,11234,3068800,DAVID YEROSHALMI,DAVID YEROSHALMI,DAVID YEROSHALMI,DAVID YEROSHALMI,36 W 47TH STREEET 207-20 New York NY 10036,36W 47TH STREET 207-20 New York NY 10036,36 W 47TH STREET 207-20 New York NY 10036,36 W 47TH STREET 207-20 New York NY 10036,Unknown (likely private),not residential,0,3083800002,0,0,1,0,0,0,0,1,0,108.472654951,2
3200479,3021 AVENUE V,13.54280831,R4,0.84,NA,166.769981695,FORD COYLE PROPERTS INC,11229,3057000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3073670036,2,0,1,0,0,0,0,1,0,166.769981695,4
3238580,5945 STRICKLAND AVENUE,27.88180507,C3,0.48,NA,527.768854495,MILL BASIN REALTY,11234,3069800,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3084701028,2,0,0,0,0,0,2,2,0,527.768854495,6
3220944,1750 EAST 49 STREET,24.624332,C8-1,Inf,NA,268.679841884,1750-54 EAST 49TH STREET LLC,11234,3067200,NA,NA,NA,NA,NA,NA,NA,NA,Private,not residential,0,3078930052,2,0,0,0,0,1,0,1,0,268.679841884,4
3243428,6602 AVENUE U,15.18310396,R3-2,0.6,NA,486.506717447,T F REALTY (M B )CORP,11234,3070201,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3086310001,2,0,1,0,0,0,2,2,0,486.506717447,7
3427000,309 RUTLEDGE STREET,65.0,C8-2,Inf,NA,58.0755568122,GOLDEX LIMITED,11211,3052900,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3022210042,0,0,0,0,0,1,0,0,1,58.0755568122,2
3426997,323 EAST 87 STREET,26.0,M1-1,Inf,NA,115.976882497,EAST 87TH STREET LLC,11236,3096000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3079240094,2,1,0,0,1,0,0,1,0,115.976882497,5
3339279,FRANKLIN AVENUE,39.0,R6B,0,NA,102.658298421,NYC TRANSIT AUTHORITY,11238,3022700,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3020160042,0,0,1,0,1,0,0,1,0,102.658298421,3
3173310,1312 WEST 6 STREET,46.26,R6A,0.9066666666666667,NA,79.1216780681,"MSRG, INC.",11204,3043200,SAL CAROLLO,SALVATORE CAROLLO,CALOGERO CAROLLO,SALVATORE CAROLLO,1820 E2ND STREET  Brooklyn NY 11223,1820 E2ND STREET  Brooklyn NY 11223,1820 E2ND STREET  BROOKLYN NY 11223,1820 E2ND STREET  Brooklyn NY 11223,Unknown (likely private),multiple unit,1,3065780007,0,0,1,0,0,1,2,0,0,79.1216780681,4
3413715,321 PALMETTO STREET,74.0,R6,1.2098765432098764,NA,51.0507155521,NYC HOUSING PRESERVATION AND DEVELOPMENT,11237,3043300,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3033440136,0,0,1,0,1,1,2,0,1,51.0507155521,6
3393008,360 FURMAN STREET,191.0,M2-1,Inf,NA,623.54946381,NA,11201,3000700,RANDY SULZER,LOUISE MATHEWS,KEITH WERNY,NA,360 FURMAN STREET  Brooklyn NY 11201,575 FIFTH AVENUE 9TH FL New York NY 10017,360 FURMAN STREET 1209 BROOKLYN NY 11201,575 FIFTH AVENUE 9TH FL New York NY 10017,Unknown (likely private),not residential,0,3002457501,2,1,0,0,0,0,2,2,0,623.54946381,7
3412433,AVENUE X,28.20572729,C8-1,NA,NA,381.943741719,NYC TRANSIT AUTHORITY,11223,3030800,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3072080040,2,0,0,0,2,1,0,2,1,381.943741719,8
3346308,NEPTUNE AVENUE,29.15,M1-2,NA,NA,195.182243032,NEPTUNE ASOCIATIES INC,11224,3034800,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3072470140,2,1,0,0,0,1,0,1,1,195.182243032,6
3048637,585 MARCY AVENUE,80.25718205,R7D,1.1738095238095236,NA,83.2379022257,NA,11206,3025901,ISAC DEUTSCH,ANDOR DEUTSCH,NA,ISAC DEUTSCH,246 LYNCH ST 1A BROOKLYN NY 11206,246 LYNCH STREET 1A BROOKLYN NY 11206,246 LYNCH ST 1A BROOKLYN NY 11206,NA,Unknown (likely private),not residential,0,3017557503,0,0,0,0,0,1,2,0,1,83.2379022257,4
3411659,305 PARKSIDE AVENUE,29.25,PARK,Inf,NA,330.308898819,NYC DEPARTMENT OF PARKS AND RECREATION,11226,3017700,NA,NA,NA,NA,NA,NA,NA,NA,City-owned,not residential,0,3050510001,2,0,0,0,2,0,0,1,0,330.308898819,5
3080064,319 MOFFAT STREET,13.16587383,M1-1,Inf,NA,106.93509918,MOFFAT ST REALTY LLC,11237,3040900,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3034430059,2,1,0,0,1,1,0,1,1,106.93509918,7
3188988,2847 WEST 21 STREET,13.66,M1-2,Inf,NA,162.923427795,2847 WEST 21ST LLC,11224,3032600,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3070180064,2,1,0,0,0,1,0,1,1,162.923427795,6
3396015,775 LAFAYETTE AVENUE,137.98464907,R6B,2.83,NA,62.9136241944,NA,11221,3028100,RANDY SULZER,KEITH ANOSIKE,KEITH WERNY,NA,575 5TH AVENUE 9TH FL New York NY 10017,575 FIFTH AVENUE 9TH FL New York NY 10017,575 5TH AVENUE 9TH FL New York NY 10017,575 5TH AVENUE 9TH FL New York NY 10017,Unknown (likely private),not residential,0,3017877501,2,0,1,0,0,1,2,0,1,62.9136241944,7
3166588,8703 18 AVENUE,74.0,C8-1,Inf,NA,55.2489050055,FEDERATION OF ITALIAN-AMERICAN,11214,3027800,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3063690001,0,0,0,0,0,1,2,0,0,55.2489050055,3
3396753,333 GREENE AVENUE,134.14492016,R6B,2.23,NA,79.7641857964,NA,11238,3023300,MOSES BERKOVICS,MOSES BERKOVICS,MOSES BERKOVICS,MOSES BERKOVICS,101 BROADWAY 5 Brooklyn NY 11211,101 BROADWAY 5 Brooklyn NY 11211,101 BROADWAY 5 Brooklyn NY 11211,101 BROADWAY 5 Brooklyn NY 11211,Unknown (likely private),not residential,0,3019537503,2,0,1,0,0,0,2,0,1,79.7641857964,6
3137105,4723 10 AVENUE,83.0,R6,1.9958847736625511,NA,475.081801059,MAIMONIDES MEDICAL CENTER,11219,3011400,NA,NA,NA,NA,NA,NA,NA,NA,Tax-exempt property,not residential,0,3056260001,0,0,1,0,1,1,2,2,0,475.081801059,7
3396696,2201 NOSTRAND AVENUE,64.41735157,C8-4,Inf,NA,1552.26187657,NA,11210,3077400,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3075767501,0,0,0,0,0,0,2,4,0,1552.26187657,6
3081158,1 BLAKE AVENUE,54.90623015,C8-2,Inf,NA,110.879679237,BERMUDA REALTY NO. 4 LLC,11212,3090000,NA,NA,NA,NA,NA,NA,NA,NA,Unknown (likely private),not residential,0,3035310001,0,0,0,0,1,1,2,1,1,110.879679237,6
